date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:32:33	295/295	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2017:32:33%20GMT	http://localhost/robots.txt		(from )
19:32:36	135424/135424	---MC-	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2017:32:33%20GMT	http://localhost/SitoAvvAndreaFalzetti/	C:/My%20Web%20Sites/Andrea%20Falzetti/localhost/SitoAvvAndreaFalzetti/index.html	(from )
19:32:36	43034/43034	---M--	200	added ('OK')	text/css	etag:%22a81a-618f9176ca8eb%22	http://localhost/SitoAvvAndreaFalzetti/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.6.14	C:/My%20Web%20Sites/Andrea%20Falzetti/localhost/SitoAvvAndreaFalzetti/wp-content/themes/astra/assets/css/minified/main.min33c5.css	(from http://localhost/SitoAvvAndreaFalzetti/)
19:32:38	113381/113381	---M--	200	added ('OK')	text/css	etag:%221bae5-6125e1e30bbc0%22	http://localhost/SitoAvvAndreaFalzetti/wp-includes/css/dist/block-library/style.min.css?ver=6.5.3	C:/My%20Web%20Sites/Andrea%20Falzetti/localhost/SitoAvvAndreaFalzetti/wp-includes/css/dist/block-library/style.minef10.css	(from http://localhost/SitoAvvAndreaFalzetti/)
19:32:40	1783/1783	---M--	200	added ('OK')	application/rss+xml	etag:%22c59183cb09fbab94543225efb406f88a%22	http://localhost/SitoAvvAndreaFalzetti/feed/	C:/My%20Web%20Sites/Andrea%20Falzetti/localhost/SitoAvvAndreaFalzetti/feed/index.html	(from http://localhost/SitoAvvAndreaFalzetti/)
19:32:40	1747/1747	---M--	200	added ('OK')	application/rss+xml	etag:%22c59183cb09fbab94543225efb406f88a%22	http://localhost/SitoAvvAndreaFalzetti/comments/feed/	C:/My%20Web%20Sites/Andrea%20Falzetti/localhost/SitoAvvAndreaFalzetti/comments/feed/index.html	(from http://localhost/SitoAvvAndreaFalzetti/)
19:32:40	297/297	---M--	200	added ('OK')	text/css	etag:%22129-618f9219dcd2d%22	http://localhost/SitoAvvAndreaFalzetti/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/spectra-block-positioning.min.css?ver=2.13.2	C:/My%20Web%20Sites/Andrea%20Falzetti/localhost/SitoAvvAndreaFalzetti/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/spectra-block-positioning.min42a3.css	(from http://localhost/SitoAvvAndreaFalzetti/)
19:32:40	4023/4023	---M--	200	added ('OK')	text/css	etag:%22fb7-618f9219dc352%22	http://localhost/SitoAvvAndreaFalzetti/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/slick.min.css?ver=2.13.2	C:/My%20Web%20Sites/Andrea%20Falzetti/localhost/SitoAvvAndreaFalzetti/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/slick.min42a3.css	(from http://localhost/SitoAvvAndreaFalzetti/)
19:32:40	224816/224816	---M--	200	added ('OK')	text/css	etag:%2236e30-618fa300d567a%22	http://localhost/SitoAvvAndreaFalzetti/wp-content/uploads/uag-plugin/assets/1000/uag-css-833.css?ver=1716312683	C:/My%20Web%20Sites/Andrea%20Falzetti/localhost/SitoAvvAndreaFalzetti/wp-content/uploads/uag-plugin/assets/1000/uag-css-833095d.css	(from http://localhost/SitoAvvAndreaFalzetti/)
19:32:44	13577/13577	---M--	200	added ('OK')	text/javascript	etag:%223509-5fdabee5f2100%22	http://localhost/SitoAvvAndreaFalzetti/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/Andrea%20Falzetti/localhost/SitoAvvAndreaFalzetti/wp-includes/js/jquery/jquery-migrate.min5589.js	(from http://localhost/SitoAvvAndreaFalzetti/)
